"Source:","/home/tom/git/TomKeddie/prj-pcb-experiments/ft4232h-breakout/v3.x/ft4232h-breakout.kicad_sch"
"Date:","Thu 19 May 2022 01:47:25 PM"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","73"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Colour","DIGIKEY","LCSC","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MFG","MFGPN","MPN","PARTREV","STANDARD"
"11","1","D6","TXC","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","WHT","","C2290","","","","","","",""
"12","1","D7","RXC","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","RED","","C2290","","","","","","",""
"13","1","D8","TXD","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","WHT","","C2290","","","","","","",""
"14","1","D9","RXD","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","RED","","C2290","","","","","","",""
"15","3","FB1, FB2, FB3","500mA/600R","tom-passives:FILTER","tom-passives:C_0805_2012Metric","","","","C1017","","","","","","",""
"16","4","J1, J2, J3, J4","Conn_01x03","tom-connectors:Conn_01x03","tom-connectors:PinHeader_1x03_P2.54mm_Horizontal","~","","","C492411","","","","","","",""
"17","4","J5, J6, J7, J8","JLCPCB_3.5MM_SOCKET_C18166","tom-connectors:JLCPCB_3.5MM_SOCKET_C18166","tom-connectors:JLCPCB_3.5MM_SOCKET_C18166","https://atta.szlcsc.com/upload/public/pdf/source/20211011/0B1C3F8D3B14DEB4B55195420484A083.pdf","","","C18166","","","","","PJ-3200","",""
"18","1","J9","USB_B_Micro","tom-connectors:USB_B_Micro","tom-connectors:USB_B_Micro_LCSC_C10418","~","","","C10418","","","","","","",""
"19","1","J10","USB_C_Receptacle_USB2.0","tom-connectors:USB_C_Receptacle_USB2.0","tom-connectors:USB_C_Receptacle_LCSC_C165948","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","","C165948","","","","","","",""
"20","2","R1, R11","10","jlcpcb-basic-resistor-0402:10","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF100JTCE_C25077.pdf","","","C25077","","","UNI-ROYAL(Uniroyal Elec)","0402WGF100JTCE","","",""
"21","9","R2, R3, R4, R5, R6, R7, R8, R9, R22","330","jlcpcb-basic-resistor-0402:330","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF3300TCE_C25104.pdf","","","C25104","","","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","","",""
"22","5","R10, R13, R15, R17, R18","10k","jlcpcb-basic-resistor-0402:10k","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","","","C25744","","","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","","",""
